Column Name,Required for each Surveillance Activity?,Allowed Formats or Values,Description
NON_CONFORMITY_TYPE,"Required IF SURVEILLANCE_RESULT = ""Non-Conformity""","Where applicable, please use the reg text number (e.g. 170.315(a)(2) or 170.523(k)(1) ). If there is no corresponding regulatory reference, use ""Other Non-Conformity""","For non-conformities related to specific regulatory references (e.g. certified capabilities, transparency or disclosure requirements, or use of the Certification Mark), the regulation reference is used (e.g. 170.315(a)(2) or 170.523(l). If the non-conformity type is designated as ‘Other Non-Conformity', then the associated non-conformity does not have a relevant regulatory reference."
NON_CONFORMITY_STATUS,"Required IF SURVEILLANCE_RESULT = ""Non-Conformity""",Open; Closed,Whether the non-conformity is open or closed (has been resolved).
DATE_OF_DETERMINATION,"Required IF SURVEILLANCE_RESULT = ""Non-Conformity""",<MM/DD/YYYY>,The date that the ONC-ACB determined that a non-conformity was present.
CAP_APPROVAL_DATE,No,<MM/DD/YYYY>,The date that the ONC-ACB approved the corrective action plan proposed by the developer.
ACTION_BEGAN_DATE,No,<MM/DD/YYYY>,The date that the corrective action was started.
MUST_COMPLETE_DATE,"Required if ""CAP_APPROVAL_DATE"" is not null",<MM/DD/YYYY>,The date that the corrective action must be completed in order to avoid termination of the certified product's certification status.
WAS_COMPLETE_DATE,No,<MM/DD/YYYY>,The date that the corrective action was completed.
NON_CONFORMITY_SUMMARY,"Required IF SURVEILLANCE_RESULT = ""Non-Conformity""",<string>,A brief summary describing why the certified product was found to be non-conformant.
NON_CONFORMITY_FINDINGS,"Required IF SURVEILLANCE_RESULT = ""Non-Conformity""",<string>,"A detailed description of the ONC-ACB's findings related to the nonconformity. This provides a full picture of the potential nonconformities or other deficiencies the ONC-ACB identified, how they were evaluated, and how the ONC-ACB reached its non-conformity determination."
SITES_PASSED,"Required IF SURVEILLANCE_RESULT = ""Non-Conformity"" AND SURVEILLANCE_TYPE =""Randomized""",<integers>,Pass rates only apply to non-conformities found as a result of random surveillance. The numerator for the pass rate is the number of sites for each criterion that passed randomized surveillance for the Health IT module being evaluated.
TOTAL_SITES,"Required IF SURVEILLANCE_RESULT = ""Non-Conformity"" AND SURVEILLANCE_TYPE =""Randomized""",<integers >= 0> ,"Pass rates only apply to non-conformities found as a result of random surveillance.  The denominator is the total number of
sites for which randomized surveillance was conducted on the Health IT module. "
DEVELOPER_EXPLANATION,N/A,<string>,"If available, the developer's explanation of why it agrees or disagrees with the ONC-ACB's assessment of the non-conformity and an explanation of why the non-conformity occurred"
RESOLUTION_DESCRIPTION,"If NON_CONFORMITY_STATUS = ""Closed""",<string>,A detailed description of how the non-conformity was resolved.
NON_CONFORMITY_LAST_UPDATED_DATE,N/A,<MM/DD/YYYY HH:MM>,The updated date and time in the system of the non-conformity activity
